		eng	acu	afr	ake	alb	amu	ara	arm	baq	bsn	bul	cak	ceb	cha	chi	chq	chr	chu	cjp	cni	cop	crp	cze	dan	deu	dik	dje	dop	epo	est	ewe	fin	fra	gbi	glv	got	grc	gre	guj	hin	hrv	hun	ind	isl	ita	jak	jap	jiv	kab	kbh	kor	lat	lav	lit	mam	mao	mar	mya	nep	nhg	nld	nor	ojb	pck	pes	plt	pol	por	pot	ppk	quc	quw	rom	rum	rus	shi	slk	slv	sna	som	spa	srp	ssw	swe	syr	tel	tgl	tha	tmh	tur	ukr	usp	wal	wol	xho	zul
884	b.2TH.3.10a	when	NA	toe	NA	se	quia	حين	NA	NULL	NA	павел	tek	diha	NA	候	mɨ	NULL	NA	NA	NULL	NULL	lè	když	da	da	NA	waato	waatʋ	kiam	kui	esi	kun	lorsque	orasi	NA	þan	ὅτε	οτε	ર	जब	dok	mikor	waktu	þegar	quando	yet	NULL	NA	asmi	NA	NULL	cum	kad	NULL	tej	i	व	အခ	ल	ijcuac	toen	da	NA	lai	هنگامی	fony	NULL	quando	NA	bula	aretak	NULL	kana	cînd	когда	llig	keď	ko	NULL	markaannu	estando	kad	NULL	när	ܟܕ	నప	NULL	เม	NA	NULL	як	cuando	NULL	ba	NULL	nalapho
885	b.1TI.1.3a	when	NA	toe	NA	dhe	quia	اذ	NA	NULL	NA	NULL	tek	NULL	NA	候	ie	NULL	NA	NA	NULL	NULL	lè	když	da	da	NA	waato	ɣʋ	NULL	NULL	hafi	NULL	lorsque	qabolo	NA	NULL	NULL	NULL	ર	समय	kad	NULL	waktu	þegar	NULL	yet	頼んでおいたように	NA	uqbel	NA	때에	cum	NULL	kai	tej	NULL	व	အခ	NULL	ijcuac	toen	da	NA	huchia	هنگامی	rehefa	gdym	quando	NA	NULL	aretak	NULL	kana	NULL	и	llig	keď	NULL	NULL	markaan	cuando	kad	ya	när	ܟܕ	NULL	nang	ดๆเม	NA	NULL	NULL	cuando	NULL	ne	ndakuba	mhla
886	b.1TI.5.11a	when	NA	wanneer	NA	duke	quia	متى	NA	NULL	NA	съгрешават	NULL	diha	NA	候	mɨ	NULL	NA	NA	NULL	ϩⲟⲧⲁⲛ	lè	když	når	wenn	NA	waati	mpʋ	kiam	kui	megbe	kun	lorsque	orasi	NA	þan	ὅταν	αφου	પછ	जब	kad	ha	kalau	þegar	appena	yet	NULL	NA	m	NA	때에	cum	ja	NULL	NULL	to	व	NULL	NULL	NULL	als	når	NA	NULL	چون	raha	gdyby	quando	NA	NA	aretak	NULL	kana	cînd	NULL	NULL	keď	ko	kana	markay	cuando	kad	maumbile	när	NULL	NULL	NULL	าเม	NA	NULL	NULL	NULL	wode	bu	xa	NULL
887	b.2TI.1.5a	when	NA	as	NA	NULL	NULL	اذ	NA	NULL	NA	NULL	NULL	NULL	NA	NULL	NULL	ꭲᏻꮓ	NA	NA	NA	NULL	NULL	rozpomínaje	idet	wenn	NA	NULL	NULL	NULL	kui	NULL	kun	NULL	NULL	NA	gamaudein	λαβὼν	NULL	ય	NULL	NULL	NULL	NULL	er	NULL	NULL	NULL	NA	mektayeɣ	NA	NULL	NULL	NULL	NULL	NULL	ka	NULL	NULL	NULL	niquelnamiqui	NULL	da	NA	NULL	که	fa	przywodząc	NULL	NA	motarima	NULL	NULL	serav	NULL	NULL	NULL	keď	ker	NULL	markii	NULL	opominjući	NULL	då	NULL	NULL	NULL	NULL	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL
888	b.2TI.1.17a	when	NA	toe	NA	se	quia	لما	NA	denean	NA	NULL	tek	paghiabut	NA	候	mɨ	NULL	NA	NA	itimantacari	ⲉⲧⲁϥⲓ	lè	NULL	da	da	NA	waato	tala	kiam	kui	esi	kun	lorsqu	NA	NA	qimands	NULL	οτε	ય	जब	kad	mikor	NULL	þegar	NULL	huln	NULL	NA	akken	NA	때에	cum	atnācis	atvykęs	NULL	NULL	NULL	အခ	जब	ijcuac	toen	da	NA	chiang	چون	raha	będąc	quando	NA	NA	aretak	NULL	kana	cînd	быв	ilkm	keď	ko	wakati	markuu	cuando	došavši	NULL	när	ܟܕ	నప	nang	ขณะเม	NA	geldiğinde	бувши	cuando	NULL	bi	NULL	esefikile
889	b.2TI.4.3a	when	NA	wanneer	NA	dhe	NULL	NULL	NA	NULL	NA	NULL	tek	NULL	NA	候	mɨ	NULL	NA	NA	NULL	ϩⲟⲧⲉ	lè	NULL	da	da	NA	kaŋ	waatʋ	kiam	NULL	esime	jolloin	où	NULL	NA	þan	ὅτε	οτε	ય	NULL	kad	mikor	NULL	er	cui	tuˈ	NULL	NA	NULL	NA	NULL	cum	kad	kai	NULL	NULL	NULL	NULL	जब	ijcuac	dat	da	NA	NULL	که	NULL	gdy	que	NA	NULL	aretak	runauna	NULL	cînd	когда	NULL	keď	ko	ichasvika	NULL	cuando	kad	NULL	då	NULL	NULL	titiisin	คนจะทนต	NA	NULL	NULL	NULL	NULL	ne	abangayi	NULL
890	b.2TI.4.13a	when	NA	as	NA	NULL	quia	متى	NA	NULL	NA	NULL	tek	inig	NA	候	mɨ	NULL	NA	NA	NULL	ⲁⲛⲓⲧⲥ	lè	když	når	wenn	NA	NULL	ye	kiam	NULL	ne	NULL	quand	orasi	NA	qimands	NULL	NULL	ર	जब	kada	NULL	kalau	þegar	venendo	yet	トロアスのカルポの所に残しておいた上着を持ってきてほしい	NA	m	NA	때에	NULL	NULL	NULL	aj	ka	ह	အခ	ल	ijcuac	als	når	NA	chiang	وقت	raha	gdy	quando	NA	NULL	aretak	shamusha	kana	cînd	когда	ig	keď	kadar	NULL	NULL	cuando	kad	NULL	när	ܡܐ	NULL	NULL	เม	NA	NULL	NULL	NULL	NULL	NULL	ekuzeni	nxa
891	b.TIT.3.12a	when	NULL	wanneer	tai	NULL	quia	حينما	NA	NULL	acõari	молитствувам	tek	NULL	NA	候	mɨ	ꭲᏻꮓ	NA	NA	NULL	ⲉϣⲱⲡ	lè	když	når	wenn	te	waati	kɔma	kiam	kui	ne	kun	lorsque	kagena	NA	NA	ὅταν	οταν	ય	जब	kad	mikor	sesudah	þegar	quando	hayet	NULL	NULL	m	NULL	NULL	cum	kad	kai	aj	NULL	ह	NA	पछ	ijcuac	nadat	når	ᐊᐲ	chiang	وقتی	rehefa	gdy	quando	NA	ane	aretak	imahoras	kana	cînd	когда	akud	keď	kadar	kana	markaan	cuando	kad	baada	när	ܡܐ	డ	pagka	เม	as	NULL	як	cuando	wode	bu	xenikweni	nxa
892	b.HEB.1.3a	when	apu	nadat	NA	që	quia	NULL	NA	NULL	NULL	NULL	ri	NULL	NA	NULL	mɨ	ꮎꭿᏻ	NA	NA	ipianaja	NULL	lè	NULL	at	und	te	waato	ɩlɛna	farinte	kui	enɔ	NULL	NULL	de	NA	NA	καθαρισμὸν	αφου	ય	NULL	pošto	a	sesudah	hreinsaði	dopo	lahwi	NULL	NULL	mi	chents	NULL	NULL	un	NULL	tej	ka	NULL	သည	ल	ijcuac	dat	da	ᐊᐲ	nung	چون	rehefa	NULL	havendo	NA	ka	aretak	NULL	NULL	curăţirea	NULL	akud	a	ko	wakati	goortuu	cuando	učinivši	baada	sedan	NULL	ప	nang	เม	NA	sonra	NULL	NULL	ekkidi	bi	NULL	NULL
893	b.HEB.1.6a	when	NULL	wanneer	NA	NULL	quia	متى	NA	NULL	NULL	NULL	tek	inigdala	NA	候	mɨ	ꮎꭿᏻ	NA	NA	NULL	ⲉϣⲱⲡ	lè	když	når	da	ɣɔn	waato	waatʋ	kiam	kui	esi	kun	lorsqu	orasi	NA	NA	ὅταν	οταν	ય	जब	kad	mikor	NULL	er	quando	yet	NULL	NULL	asmi	ora	때에	cum	kad	NULL	tej	NULL	ह	အခ	जब	ijcuac	toen	når	ᐊᐲ	huan	هنگامی	raha	gdy	ao	NA	nto	aretak	imahoras	kana	cînd	когда	llig	keď	ko	kana	markuu	al	uvodeći	alipokuwa	då	ܐܡܬܝ	నప	nang	NULL	NA	NULL	коли	cuando	NULL	bi	nangexa	mhla
894	b.HEB.3.9a	when	NULL	NULL	NA	NULL	NULL	NULL	NA	NULL	NA	NULL	NULL	NULL	NA	NULL	ie	ꮎꭿᏻ	NA	NA	NULL	NULL	lè	NULL	NULL	da	ɣɔn	kaŋ	NULL	kiam	NULL	NULL	NULL	où	orasi	NA	NA	NULL	οπου	ય	चकर	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	व	သ	ल	NULL	toen	hvor	ᐁᑮᐙᐸᑕᒧᐙᒡ	un	NULL	NULL	NULL	NULL	NA	NULL	NULL	imahoras	NULL	NULL	NULL	NULL	NULL	NULL	pandakaidzwa	NULL	NULL	NULL	NULL	NULL	ܕܢܤܝܘܢܝ	NULL	NULL	เม	NA	NULL	NULL	NULL	NA	NULL	NULL	lapho
895	b.HEB.3.16a	when	turamtai	NULL	NA	NULL	jnda	اذ	NA	çutenean	NULL	тъй	NULL	NULL	NA	時	mɨ	ꮏꮙ	NA	NA	NULL	NULL	apre	NULL	da	NULL	te	waato	NULL	NULL	NULL	NULL	vaikka	après	NULL	NA	NA	NULL	αφου	NULL	NULL	NULL	mikor	NULL	þá	dopo	lahwi	NULL	NULL	mi	NULL	NULL	NULL	NULL	NULL	NULL	to	ज	NULL	NULL	ijcuac	nadat	da	ᐊᐌᓀᓇᒃ	NULL	NULL	rehefa	NULL	tendo	NA	ane	te	maicangunara	NULL	dupăce	NULL	NULL	NULL	NULL	NULL	markay	que	NULL	NULL	då	NULL	NULL	sapagka	เม	NA	NULL	NULL	NULL	NULL	bi	bathe	NULL
896	b.HEB.5.7a	when	NULL	NULL	NA	NULL	NULL	اذ	NA	NULL	i	NULL	tek	si	NA	候	NULL	ꭴꮄꮒꮩꮈ	NA	NA	yatiritantapaintaniri	NULL	pandan	NULL	NULL	NULL	te	NULL	saa	NULL	NULL	esi	huudolla	ayant	NULL	NA	NA	NULL	αφου	ય	NULL	zemaljskog	NULL	NULL	sárum	NULL	yet	その肉の生活の時には	NULL	asm	NULL	때에	NULL	NULL	NULL	tej	NULL	व	NULL	जब	ijcuac	terwijl	og	ᑮᐃᔑᓂᑖᐊᓇᒥᐋ	NULL	NULL	raha	NULL	tendo	NA	NULL	aretak	NULL	kana	NULL	NULL	NULL	ľudského	NULL	wakavuya	NULL	habiendo	NULL	NULL	och	ܟܕ	NULL	NULL	ขณะเม	NA	NULL	NULL	cuando	wode	NULL	xa	ngemikhuleko
897	b.HEB.5.12a	when	NULL	hoewel	NA	NULL	chii	اذ	NA	cereneta	je	NULL	xe	NULL	NA	NULL	nɨngóobˊ	NULL	NA	NA	poamejeiterime	NULL	NULL	měvše	skønt	und	NULL	kaŋ	ɩlɛna	kvankam	NULL	NULL	NULL	NULL	qaboloka	NA	NA	καὶ	ενω	ય	यह	NULL	NULL	NULL	að	NULL	hacaˈxa	NULL	NULL	al	bayté	오래므로	cum	NULL	žiūrint	ayetzinkyetza	NULL	व	သ	ल	nentemachtijquej	maar	skjønt	NULL	a	که	na	NULL	NULL	NA	NULL	NULL	huasha	NULL	NULL	судя	NULL	NULL	NULL	NULL	NULL	debiendo	NULL	NULL	fastän	NULL	NULL	nang	NULL	NA	NULL	коди	NULL	NULL	nag	NULL	NULL
898	b.HEB.6.13a	when	NULL	toe	NA	NULL	quia	لما	NA	ceraucanean	NULL	NULL	NA	pagsaad	NA	NULL	ie	NULL	NA	NA	ancoaque	ⲉⲧⲁ	lè	když	da	als	ɣɔn	waato	waatʋ	kiam	kui	esi	kun	lorsque	NA	NA	NA	NULL	NULL	ર	जब	kad	mikor	ketika	þegar	quando	yet	NULL	NA	asmi	NA	때에	NULL	kad	kai	tej	NULL	ह	အခ	NULL	ijcuac	toen	da	ᐊᐲ	laiin	وقتی	NULL	gdy	quando	NA	NA	aretak	horaspi	NULL	cînd	NULL	llig	keď	ko	NULL	markii	cuando	kad	NULL	när	ܟܕ	నప	nang	าเม	NA	zaman	обітуючи	NA	wode	bi	wathi	lapho
899	b.HEB.7.10a	when	NA	toe	NA	domosdo	xjeⁿ	حين	NA	çayonean	NA	NULL	tek	sa	NA	候	NULL	ꮎꭿᏻ	NA	NA	NA	ⲉⲧⲁϥⲓ	lè	když	da	da	ɣɔn	waato	saa	kiam	kui	esi	kun	lorsque	NULL	NA	NA	ὅτε	οτε	NULL	समय	kad	mikor	waktu	þegar	quando	yet	NULL	NULL	NULL	NA	때에	quando	kad	kai	tej	NULL	व	NULL	जब	ijcuac	toen	da	ᐊᐲ	lai	هنگامی	tamin	gdy	quando	NA	nto	aretak	NULL	kana	cînd	когда	NULL	keď	ko	pakusongana	kolkii	cuando	kad	wakati	när	ܟܕ	నప	nang	ขณะท	NA	NULL	як	cuando	wode	bi	NULL	NULL
900	b.HEB.7.27a	when	ainau	toe	NA	NULL	NULL	اذ	NA	NULL	na	когато	ri	sa	NA	NULL	NULL	ꮎꭿᏻ	NA	NA	NULL	NULL	lè	NULL	da	da	te	waato	waatʋ	NULL	kui	esi	NULL	en	NULL	NA	NA	NULL	οτε	ર	NULL	NULL	NULL	ketika	er	se	NULL	一度だけ	tura	NULL	NA	NULL	NULL	NULL	NULL	tej	i	व	NULL	NULL	ijcuac	toen	da	ᐁᑮᑌᑎᐸᐊᕽ	nung	هنگامی	raha	NULL	quando	NA	nto	aretak	runaunajmanda	kana	cînd	принеся	llig	že	ko	zvikapera	markuu	vez	kad	wakati	när	NULL	తర	nang	NULL	NA	sonra	NULL	cuando	wode	bi	ekuzinyuseni	mhla
901	b.HEB.8.5a	when	aints	toe	a	NULL	quia	NULL	NA	çuenean	na	NULL	tek	NULL	NA	候	ie	ꮎꭿᏻ	NA	NA	NULL	NULL	lè	když	da	da	ɣɔn	waato	saa	NULL	kui	NULL	kun	lorsqu	orasi	NA	NA	ἐπιτελεῖν	οτε	ય	NA	kad	mikor	ketika	er	quando	hayet	NULL	nuna	mi	NA	때에	cum	kad	kai	tej	NULL	NULL	NULL	जब	ijcuac	als	da	ᐊᐲ	lai	هنگامی	rehefa	gdy	quando	NA	kako	aretak	NULL	NULL	cînd	когда	llig	keď	ko	wakati	kolkuu	cuando	kad	wakati	när	ܟܕ	నప	nang	นเม	NA	NULL	як	cuando	akeeka	ba	xa	NULL
902	b.HEB.8.8a	when	NULL	dat	NULL	që	xjeⁿ	حين	NA	NULL	i	NULL	tek	NULL	NA	NULL	calɨlíˈˆ	NULL	NA	NA	quemisantatsiniri	ϯⲛⲁϫⲱⲕ	NULL	NULL	da	daß	ɣɔn	kaŋ	kɔma	kiam	mil	esi	jolloin	où	NULL	NA	NA	καὶ	και	ર	NULL	kad	és	NULL	er	quando	elico	NULL	NULL	asmi	NA	NULL	NULL	un	kai	aj	NULL	व	သည	जब	ijcuac	dat	da	ᐊᐲ	chiangin	که	NULL	gdy	que	NA	NULL	aretak	imahoras	kana	cînd	когда	NULL	a	in	NULL	oo	NULL	i	ambapo	då	NULL	ప	na	NULL	NA	NULL	і	NULL	NULL	bi	NULL	lapho
903	b.HEB.8.9a	when	NULL	toe	tai	duke	quia	امسكت	NA	nitzançát	i	NULL	tek	sa	NA	候	mɨ	ꮎꭿᏻ	NA	NA	NULL	ⲉⲉⲛⲟⲩ	lè	když	da	da	ɣɔn	kaŋ	waatʋ	kiam	mil	esi	kun	où	orasi	NA	NA	NULL	ην	NULL	जब	kad	mikor	waktu	er	cui	yet	エジプトの地から導き出した日に	tura	asmi	NA	NULL	NULL	kad	kai	tej	NULL	ह	အခ	जब	ijcuac	dat	da	ᓂᑮᓵᑭᒋ	NULL	که	NULL	NULL	que	NA	nto	NULL	tucungachu	kana	cînd	когда	llig	keď	ko	NULL	NULL	que	kad	NULL	då	ܕܐܚܕܬ	NULL	na	เม	NA	tuttuğum	як	cuando	wode	NULL	ndababamba	mhla
904	b.HEB.9.6a	when	umisar	nadat	NULL	mbasi	quia	اذ	NA	içanic	NULL	NULL	tek	na	NA	既	tɨˊ	NULL	NA	NA	ari	ⲇⲉ	lè	když	idet	da	te	za	ɣʋ	kiam	NULL	ne	kun	NULL	NULL	NA	NA	NULL	δε	ય	जब	pošto	NULL	NULL	er	NULL	NULL	NULL	NULL	NULL	NA	NULL	NULL	kad	tokiai	NULL	ka	व	အခ	ल	NULL	toen	nu	NULL	huan	چون	rehefa	gdy	estando	NA	NULL	NULL	NULL	kana	după	при	llig	keď	NULL	NULL	NULL	NULL	kad	NULL	NULL	NULL	నప	ganitong	NULL	NA	NULL	як	NULL	wode	ba	zakubon	NULL
905	b.HEB.9.19a	when	NULL	toe	tai	NULL	quia	NULL	NA	NULL	NULL	като	tek	diha	NA	NULL	mɨ	NULL	NA	NA	icamantiri	ⲉⲧⲁ	apre	když	da	als	te	waato	ɩlɛna	NULL	kui	esi	kun	après	NULL	NA	NA	NULL	αφου	NULL	जब	pošto	mikor	sesudah	þegar	dopo	hayet	NULL	nuyá	mi	NA	후에	NULL	NULL	NULL	tej	NULL	ज	သ	ल	ijqui	toen	da	ᐊᐲ	nungin	چون	rehefa	gdy	havendo	NA	NULL	NULL	NULL	kana	după	NULL	llig	keď	ko	NULL	markii	habiendo	kad	NULL	sedan	ܟܕ	NULL	nang	าเม	NA	NULL	як	cuando	guyyiyan	NULL	kuthe	NULL
906	b.HEB.10.5a	when	jesús	as	tai	NULL	quia	عند	NA	NULL	na	NULL	tek	ni	NA	時	mɨ	NULL	NA	NA	NULL	NULL	lè	NULL	idet	da	te	waato	waatʋ	NULL	NULL	esi	tullessaan	NULL	NA	NA	NA	NULL	NULL	ય	समय	NULL	NULL	waktu	þegar	NULL	yet	NULL	NULL	mi	ora	때에	NULL	NULL	NULL	tej	NULL	ह	အခ	जब	ijcuac	toen	idet	ᐊᐲ	laiin	هنگامی	nony	NULL	entrando	NA	NA	aretak	NULL	kana	cînd	христос	llig	NULL	NULL	pakusvika	kolkuu	NULL	NULL	alipokuwa	NULL	ܟܕ	నప	pagpasok	นเม	NA	NULL	же	cuando	NULL	bi	akungena	NULL
907	b.HEB.10.8a	when	NULL	nadat	NULL	NULL	NULL	اذ	NA	çuenaren	na	NULL	NULL	pag	NA	NULL	iing	NULL	NA	NA	NULL	NULL	NULL	NULL	medens	nachdem	te	NULL	NULL	NULL	eespool	NULL	kun	après	NULL	NA	NA	NULL	αφου	ર	NULL	pošto	fentebb	NULL	NULL	dopo	NULL	ここで	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	व	NULL	ग	masqui	nadat	idet	ᑕᔥ	NULL	چون	rehefa	NULL	tendo	NA	NULL	NULL	NULL	NULL	ce	сказав	in	keď	NULL	NULL	NULL	habiendo	NULL	NULL	sedan	NULL	తర	NULL	เม	NA	NULL	сказавши	NULL	yarshshettana	NULL	NULL	eseshilo
908	b.HEB.11.8a	when	nungkarminia	toe	tai	NULL	quia	لما	NA	NULL	NULL	когато	tek	NULL	NA	候	mɨ	ꮎꭿᏻ	NA	NA	iriorini	NULL	lè	NULL	da	da	ɣɔn	waato	NULL	NULL	kui	esi	kun	lors	NULL	NA	NA	NULL	οτε	ય	जब	NULL	mikor	ketika	er	NULL	hayet	NULL	tura	mi	cháuama	때에	oboedivit	paklausīja	kai	tej	i	ज	အခ	NULL	ijcuac	toen	da	NULL	laiin	چون	rehefa	będąc	sendo	NA	NULL	aretak	NULL	kana	cînd	NULL	llig	keď	ko	wakati	kolkii	cuando	kad	NULL	när	ܟܕ	నప	nang	เม	NA	NULL	NULL	cuando	wode	bi	NULL	NULL
909	b.HEB.11.11a	when	NULL	toe	NULL	por	jnda	NULL	NA	NULL	agu	NULL	ri	NULL	NA	NULL	NULL	ꮏꮙ	NA	NA	irosati	ⲟⲩⲟϩ	NULL	když	NULL	daß	waan	alwaato	tɛma	post	NULL	esi	NULL	qu	manakoka	NA	NA	ἡλικίας	NULL	ય	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	chora	NULL	NULL	ka	NULL	tul	NULL	ह	အခ	NULL	NULL	toen	da	ᒋᐅᑕᐱᓅᒌᔑᒥᓂᒡ	NULL	وقت	rehefa	NULL	NULL	NA	NULL	xril	huahuara	kana	NULL	и	iwrri	keďže	NULL	NULL	dhalmada	cuando	NULL	akajaliwa	NULL	NULL	NULL	NULL	NULL	NA	NULL	пори	NULL	NULL	ba	liseligqithile	esedlulelwe
910	b.HEB.11.17a	when	yujratatjame	toe	tai	se	chii	NULL	NA	cenean	NULL	като	tek	NULL	NA	候	mɨ	ꮎꭿᏻ	NA	NA	ari	ⲉⲩⲉⲣⲡⲓⲣⲁⲍⲓⲛ	NULL	NULL	da	da	NULL	waato	waatʋ	NULL	kui	esi	NULL	lorsqu	NA	NA	NA	προσενήνοχεν	οτε	NA	समय	NULL	NULL	ketika	er	NULL	yet	NULL	NULL	mi	jëtschuayama	때에	cum	kad	kai	tej	NULL	ह	အခ	NA	ijcuac	toen	dengang	ᐊᐲ	NULL	چون	raha	NULL	sendo	NA	NA	aretak	NULL	kana	cînd	NULL	llig	NULL	ko	achiidzwa	kolkii	cuando	kad	wakati	när	NULL	NULL	nang	เม	NA	zaman	NULL	NULL	wode	bi	NULL	NULL
911	b.HEB.11.21a	when	NULL	terwyl	tai	si	quia	عند	NA	NULL	NULL	NULL	tek	NULL	NA	候	tɨˊ	ꮏꮙ	NA	NA	NULL	NULL	NULL	umíraje	NULL	da	ɣɔn	waato	wei	NULL	surres	esime	kuollessaan	NULL	orasi	NA	NA	NULL	NULL	NULL	समय	NULL	NULL	NULL	er	NULL	hayet	NULL	NULL	NULL	ora	때에	moriens	mirdams	NULL	tej	i	ह	အခ	NULL	ijcuac	NULL	og	ᐋᔕ	NULL	وقت	rehefa	umierając	quando	NA	NULL	aretak	pactarijpi	NULL	cînd	NULL	llig	NULL	NULL	NULL	markuu	cuando	umirući	NULL	NULL	ܟܕ	NULL	NULL	NULL	NA	NULL	умираючи	cuando	NULL	nekkee	xa	esezakufa
912	b.HEB.11.22a	when	jeatak	NULL	a	si	quia	عند	NA	NULL	na	като	tek	na	NA	候	tɨˊ	ꮏꮙ	NA	NA	iriorini	ⲉϥⲛⲁⲙⲟⲩ	lè	NULL	NULL	da	ɣɔn	waato	waatʋ	cxe	tuletas	esime	muistutti	NULL	orasi	NA	NA	NULL	αποθνησκων	ય	जब	umoru	NULL	ketika	NULL	NULL	yet	NULL	tura	NULL	ora	NULL	moriens	mirdams	merdintis	tej	i	NULL	အခ	NULL	ijcuac	NULL	NULL	ᐋᔕ	a	حین	rehefa	umierając	estando	NA	nto	aretak	NULL	kana	cînd	при	llig	dokonávajúc	NULL	NULL	markii	al	opominja	NULL	när	ܟܕ	నప	nang	โยเซฟเม	NA	ölürken	умираючи	cuando	NULL	nekkee	xa	esezakufa
913	b.HEB.11.23a	when	NULL	NULL	NULL	keqtrajtohet	NULL	NULL	NA	cenean	bero	NULL	tek	sa	NA	NULL	mɨ	ꮎꭿᏻ	NA	NA	ari	NULL	apre	narodiv	da	da	ɣɔn	waato	waalɩ	NULL	varjasid	NULL	NULL	NULL	NULL	NA	NA	NULL	αφου	ય	NULL	netom	NULL	setelah	leyndu	appena	hayet	NULL	aparisha	mi	ora	때에	NULL	slēpa	NULL	tej	i	ह	NULL	ल	ijcuac	NULL	NULL	NULL	laiin	چون	raha	narodziwszy	logo	NA	NULL	aretak	NULL	kana	cînd	по	NULL	keď	ko	pakuberekwa	markuu	cuando	pošto	NULL	NULL	ܟܕ	నప	nang	เม	NA	NULL	народившись	cuando	guyyiyan	bi	uthe	NULL
914	b.HEB.11.24a	when	NULL	toe	tai	duke	quia	لما	NA	ia	NULL	NULL	tek	na	NA	NULL	mɨ	ꮏꮙ	NA	NA	ari	NULL	lè	dorostlý	da	da	te	waato	waatʋ	NULL	kui	esi	NULL	que	orasi	NA	NA	μέγας	αφου	NULL	NULL	odrastao	midõn	sesudah	er	NULL	hayet	NULL	NULL	mi	ora	NULL	NULL	uzaudzis	užaugęs	tej	i	ह	အခ	ल	ijcuac	toen	da	ᐊᐲ	nung	چون	rehefa	będąc	sendo	NA	NULL	aretak	NULL	kana	cînd	NULL	llig	keď	ko	akura	markuu	cuando	kad	NULL	sedan	ܟܕ	నప	nang	คร	NA	NULL	бувши	cuando	guyyiyan	bi	uthe	NULL
915	b.HEB.11.31a	when	NULL	omdat	NULL	NULL	quia	اذ	NA	cituenean	to	NULL	tek	kay	NA	NULL	mɨ	ꮵꭸ	NA	NA	NULL	NULL	NULL	NULL	thi	da	ɣɔn	NULL	waatʋ	NULL	kui	esi	kun	NULL	de	NA	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	óhlýðnu	avendo	cˈom	NULL	mamikmak	NULL	NULL	NULL	NULL	NULL	neklusniaisiais	aj	NULL	ह	သည	NULL	ichanejcahuan	ongehoorzame	da	ᐊᐲ	NULL	NULL	NULL	NULL	tendo	NA	nto	NULL	ricusha	NULL	NULL	и	imazann	NULL	ker	NULL	halligmin	porque	NULL	NULL	eftersom	NULL	NULL	NULL	เม	NA	öldürülmedi	NULL	cuando	mokkido	NULL	akuba	nabangalalelanga
916	b.HEB.12.5a	when	NULL	as	tai	NULL	quia	اذا	NA	NULL	ogu	NULL	tek	diha	NA	候	mɨ	ꮳꭼꮝꭺꮈꭲꮝꭸꮝꮧ	NA	NA	NULL	ⲉϥⲥⲟϩⲓ	lè	když	når	wenn	te	waati	waatʋ	NULL	kui	NULL	kun	lorsqu	nakoso	NA	NA	NULL	NULL	ય	जब	kad	ha	kalau	er	quando	yet	NULL	NA	m	ora	때에	NULL	kad	NULL	aj	ina	ह	အခ	ल	ijcuac	als	når	ᐊᐲ	NULL	که	raha	gdy	quando	NA	NULL	aretak	imahoras	kana	cînd	когда	llig	keď	ko	kana	kolkuu	cuando	kad	NULL	när	ܐܡܬܝ	నప	kung	NULL	NA	NULL	NULL	cuando	wode	bu	ungatyhafi	nxa
917	b.HEB.12.17a	when	NULL	toe	tai	NULL	quia	لما	NA	NULL	ajicõari	а	tek	na	NA	NULL	mɨ	ꭲꮿꭶꮫꮑꮧᏹ	NA	NA	NA	NULL	lè	NULL	da	da	ɣɔn	ceeci	kɔma	kiam	kui	esi	kun	NULL	de	NA	NA	NULL	θελων	ય	जब	kad	mikor	NULL	þegar	quando	yet	彼はその後	tura	mi	NULL	NULL	cupiens	bet	NULL	tej	i	ह	အခ	वल	ijcuac	toen	da	ᐁᑮᐊᑕᐌᓂᒫᒡ	NULL	وقتی	raha	gdy	depois	NA	NULL	aretak	NULL	kana	cînd	NULL	NULL	keď	ko	NULL	kolkuu	que	kad	NULL	när	ܟܕ	తర	pagkatapos	NULL	NA	NULL	як	cuando	guyyiyan	ba	wathi	NULL
918	b.JAM.1.2a	when	NULL	wanneer	tai	NULL	NULL	حينما	NA	çaiteztenean	NULL	NULL	tek	diha	NA	NULL	mɨ	ꭲᏻꮓ	NA	NA	NULL	ⲉϣⲱⲡ	lè	kdyžkoli	når	wenn	te	waati	kɔma	kiam	kui	ne	kun	exposés	NULL	NA	NA	ὅταν	οταν	NULL	जब	kad	mikor	kalau	er	quando	hayet	それをむしろ非常に喜ばしいことと思いなさい	NULL	m	ora	NULL	cum	ka	kai	NULL	ina	ज	အခ	जब	ijcuac	NULL	når	NULL	chiang	وقتی	raha	gdy	NULL	NA	ane	aretak	NULL	kana	cînd	когда	akud	keď	kadar	kana	NULL	cuando	kad	NULL	när	ܟܕ	NULL	kung	เม	NA	NULL	коли	cuando	wode	NULL	xa	nxa
